status;finalidade;tipo;dormitorios;quartos;cep;endereco;numero;complemento;bairro;cidade;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Casa;2;2;83709550;Rua Das Dálias;2151;Casa 02;Campina Da Barra;Araucária;PR;73.08;180.0;73.08;73.08;1;4;Condomínio Andrade IV;280000;0.0;N;2023-09-26T00:10:29.657;N;Z;0;2023-08-09T17:31:13.117;;0;280000.0
Disponível;Residencial;Casa;2;2;83705565;Rua Cesário Furman;551;;Capela Velha;Araucária;PR;48.58;101.49;48.58;48.58;2;5;;310000;0.0;N;2023-09-26T00:10:29.657;N;Z;0;2023-07-31T13:19:57.420;;0;310000.0
Disponível;Residencial;Casa;3;2;83708340;Rua Atílio Bosquete;29;;Tindiquera;Araucária;PR;74.0;180.0;74.0;74.0;1;0;;385000;0.0;N;2023-09-26T00:10:29.657;N;Z;0;2023-07-10T17:17:35.220;;0;385000.0
Disponível;Residencial;Casa;4;4;83709540;Rua Das Acácias;2141;;Campina Da Barra;Araucária;PR;120.0;272.42;120.0;120.0;1;0;;270000;0.0;N;2023-09-26T00:10:29.657;N;Z;0;2023-08-15T10:21:13.180;;0;270000.0
Disponível;Residencial;Casa;3;3;83709556;Rua Ronaldo Alfeu Bacelar;308;Casa de esquina ;Campina Da Barra;Araucária;PR;180.0;220.0;180.0;81.0;1;24;;230000;0.0;N;2023-09-26T00:10:29.657;N;zu 03;0;2023-04-14T12:05:48.507;;0;230000.0
Vendido;Residencial;Casa;2;2;83709470;Rua Flor-De-Lis;1229;;Campina Da Barra;Araucária;PR;48.93;99.73;48.93;48.93;1;11;;230000;0.0;N;2023-09-26T00:10:29.657;N;ZR2;0;2022-08-16T09:29:46.940;;0;230000.0
Vendido;Residencial;Casa;3;2;83705064;Rua  Pedro Jess;387;Casa;Estação;Araucária;PR;87.11;250.0;87.11;87.11;2;17;;499000;0.0;N;2023-09-26T00:10:29.657;N;ZR;0;2023-07-07T18:41:36;;0;499000.0
Disponível;Residencial;Casa;3;2;83703282;Rua Edmundo Gonçalves Ferreira;1303;;Vila Nova;Araucária;PR;351.85;594.0;351.85;351.85;4;18;;1280000;0.0;N;2023-09-26T00:10:29.657;N;zr;0;2023-03-24T17:15:32.347;;0;1280000.0
Disponível;Residencial;Casa;3;3;83708560;Rua Eduardo Dudek;145;;Cachoeira;Araucária;PR;120.0;500.1;120.0;120.0;1;0;;750000;0.0;N;2023-09-26T00:10:29.657;N;Z;0;2023-09-18T15:09:37.463;;0;750000.0
Disponível;Residencial;Casa;2;2;83701590;Rua Xambrê;538;casa 02;Iguaçu;Araucária;PR;47.13;360.0;47.13;47.13;2;9;Residencial Augusta;209900;0.0;N;2023-09-26T00:10:29.657;S;ZR;0;2023-07-25T14:51:42.840;;0;209900.0
Disponível;Residencial;Casa;3;3;83709530;Rua Das Papoulas;1831;;Campina Da Barra;Araucária;PR;76.0;180.0;76.0;76.0;1;0;;450000;0.0;N;2023-09-26T00:10:29.657;N;Z;0;2023-04-19T16:52:08.413;;0;450000.0
Disponível;Residencial;Casa;3;3;83709600;Rua Das Orquídeas;1798;Casa 2;Campina Da Barra;Araucária;PR;112.5;112.5;112.5;112.5;2;12;Conjunto Residencial Paraiso 2;280000;0.0;N;2023-09-26T00:10:29.657;N;ZR-2;0;2023-09-12T11:13:27.203;;0;280000.0
