bairro;cidade;estado;dormitorios;Quartos;metragem;area_total;garagem;idade;condominiofechado;esquina;Andar;AceitaPets;MobiliadoCombo;garden;elevador;Academia;MobiliadoVenda;Gas
Campina Da Barra;Araucária;PR;2;2;73.08;73.08;1;4;N;;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;48.58;48.58;2;5;N;N;0;0;Nao;0;0;0;0;1
Tindiquera;Araucária;PR;3;2;74.0;74.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Campina Da Barra;Araucária;PR;4;4;120.0;120.0;1;0;N;;0;0;Nao;0;0;0;0;1
Campina Da Barra;Araucária;PR;3;3;180.0;180.0;1;24;N;N;0;0;Nao;0;0;0;0;1
Campina Da Barra;Araucária;PR;2;2;48.93;48.93;1;11;N;N;0;0;Nao;0;0;0;0;1
Estação;Araucária;PR;3;2;87.11;87.11;2;17;N;N;0;0;Nao;0;0;0;0;1
Vila Nova;Araucária;PR;3;2;351.85;351.85;4;18;N;N;0;0;Nao;0;0;0;0;0
Cachoeira;Araucária;PR;3;3;120.0;120.0;1;0;N;;0;0;Nao;0;0;0;0;1
Iguaçu;Araucária;PR;2;2;47.13;47.13;2;9;S;N;0;0;Nao;0;0;0;0;0
Campina Da Barra;Araucária;PR;3;3;76.0;76.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Campina Da Barra;Araucária;PR;3;3;112.5;112.5;2;12;N;N;0;0;Nao;0;0;0;0;1
Campina Da Barra;Araucária;PR;3;3;190.0;190.0;2;24;N;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;37.8;37.8;1;7;S;N;0;0;Nao;0;0;0;0;1
Campina Da Barra;Araucária;PR;2;2;50.44;50.44;0;10;S;N;0;0;Nao;0;0;0;0;1
Passauna;Araucária;PR;3;3;70.19;70.19;2;6;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;61.68;61.68;1;10;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;62.64;62.64;2;5;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;44.37;44.37;1;10;N;N;0;0;Nao;0;0;0;0;1
Boqueirão;Araucária;PR;2;2;54.99;54.99;1;0;N;N;0;0;Nao;0;0;0;0;1
Centro;Araucária;PR;3;3;120.0;120.0;0;23;N;S;0;0;Nao;0;0;0;0;1
Costeira;Araucária;PR;2;2;52.46;52.46;2;11;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;55.12;55.12;1;8;S;N;0;0;Nao;0;0;0;0;0
Costeira;Araucária;PR;2;2;53.39;53.39;1;0;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;3;3;73.24;73.24;1;9;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;55.12;55.12;1;10;S;N;0;0;Nao;0;0;0;0;1
Sabiá;Araucária;PR;2;2;49.95;49.95;1;8;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;59.0;59.0;1;9;S;N;0;0;Nao;0;0;0;0;1
Campina Da Barra;Araucária;PR;2;2;41.7;41.7;0;3;S;N;0;0;Nao;0;0;0;0;1
Thomaz Coelho;Araucária;PR;2;2;41.54;41.54;1;2;S;N;0;0;Nao;0;0;0;0;1
Costeira;Araucária;PR;2;2;54.58;54.58;1;8;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;42.83;42.83;1;10;N;;0;0;Nao;0;0;0;0;1
Iguaçu;Araucária;PR;2;2;55.06;55.06;1;13;S;N;0;0;Nao;1;0;0;0;1
Campina Da Barra;Araucária;PR;2;2;46.77;46.77;1;10;S;N;0;0;Nao;0;0;0;0;0
Campina Da Barra;Araucária;PR;2;2;46.77;46.77;1;0;S;N;0;0;Nao;0;0;0;0;1
Cachoeira;Araucária;PR;2;2;49.0;49.0;1;8;S;N;0;0;Nao;0;0;0;0;1
Capela Velha;Araucária;PR;2;2;48.0;48.0;1;5;S;N;0;0;Nao;0;0;0;0;1
Costeira;Araucária;PR;2;2;50.0;50.0;0;0;S;N;0;0;Nao;0;0;0;0;1
Sabiá;Araucária;PR;2;2;43.94;43.94;1;8;S;N;0;0;Nao;0;0;0;0;1
Tindiquera;Araucária;PR;2;2;42.27;42.27;1;10;S;N;0;0;Nao;1;0;0;0;1
