status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Sobrado;3;2;Campo Largo;83606160;Rua Balduíno Vidal;395;sobrado 04;Jardim Busmayer;PR;152.14;130.9;152.14;130.9;0;0;;799900;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-05-02T12:54:57.090;;0;799900.0
Disponível;Residencial;Sobrado;3;3;Campo Largo;83602047;Rua Pedro Badui;183;sobrado;Jardim Das Palmas;PR;99.79;127.19;99.79;99.79;3;0;;485000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-09-18T13:34:58.540;;0;485000.0
Disponível;Residencial;Sobrado;3;2;Campo Largo;83604410;Avenida Vereador João Gionedis;0;Sobrado 01;Bom Jesus;PR;100.0;180.0;100.0;100.0;2;2;;489000;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-09-13T13:58:44.023;;0;489000.0
Disponível;Comercial/Residencial;Sobrado;3;3;Campo Largo;83606160;Rua Balduíno Vidal;371;;Jardim Busmayer;PR;104.83;112.7;104.83;112.7;2;0;;420000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-08-16T16:00:33.403;;0;420000.0
Disponível;Residencial;Sobrado;3;2;Campo Largo;83602200;Rua Antônio Boaron;615;Unidade 04;Botiatuva;PR;94.28;150.77;94.28;94.28;0;2;RESIDENCIAL PRIMAVERA;499000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-05-19T14:57:23.337;;0;499000.0
Disponível;Residencial;Sobrado;3;2;Campo Largo;83602764;Rua Ubaldo Bonato;902;residência -02;Jardim Céu Azul;PR;115.0;181.0;115.0;115.0;1;0;;495000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-04-22T14:05:45.307;;0;495000.0
Disponível;Residencial;Sobrado;3;1;Campo Largo;83601550;Rua João Elpídio Cardoso;276;;Vila Bancária;PR;88.22;88.22;88.22;88.22;1;1;;410000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-05-16T17:00:51.057;;0;410000.0
Disponível;Residencial;Sobrado;3;3;Campo Largo;83604420;Rua Doutor Henrique Nogueira Dorfmund;10;;Bom Jesus;PR;110.0;150.0;110.0;150.0;2;1;;540000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-09-26T14:06:00.860;;0;540000.0
Disponível;Residencial;Sobrado;3;2;Campo Largo;83604658;Rua Francisco Alves Ferreira;640;SOBRADO 18;Vila Glória;PR;132.0;120.0;132.0;132.0;1;0;Residencial Itaqui;470000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-08-21T08:51:23.063;;0;470000.0
Disponível;Residencial;Sobrado;3;3;Campo Largo;83602092;Rua Antônio Luiz Rivabem;500;;Jardim São Vicente;PR;70.43;75.9;70.43;75.9;0;0;;322000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-09-20T13:51:23.723;;0;322000.0
Disponível;Residencial;Sobrado;3;3;Campo Largo;83604749;Rua Leon Malinosvski;7;;Nova Trento;PR;80.92;144.2;80.92;80.92;1;0;;310000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-05-03T15:04:43.070;;0;310000.0
Disponível;Residencial;Sobrado;3;2;Campo Largo;83604410;Avenida Vereador João Gionedis;0;Unidade 02;Bom Jesus;PR;110.0;150.0;110.0;110.0;2;2;;479000;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-04-28T15:08:38.427;;0;479000.0
Disponível;Comercial/Residencial;Sobrado;4;4;Campo Largo;83605352;Rua Vereador Constante Pangrácio;13;Sobrado;Vila Nova;PR;202.0;510.0;202.0;202.22;1;13;;950000;394.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2022-11-14T13:24:29.073;;0;950394.0
