status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Sobrado;3;2;Curitiba;81210320;Rua Doutor Darcy Alves De Souza;349;;Campo Comprido;PR;150.04;150.04;192.84;157.08;2;;Condomínio Ocá;1155000.0;0.0;S;2023-09-27T00:10:26.800;S;zr3;0;2023-09-26T17:14:02.580;;0;1155000.0
Disponível;Residencial;Sobrado;3;2;Curitiba;81670110;Rua Major Theolindo Ferreira Ribas;2147;;Boqueirão;PR;770.0;770.0;127.0;127.0;2;;Majores;709000.0;0.0;S;2023-09-27T00:10:26.800;S;ZR2;1;2023-09-26T13:59:41.263;;0;709000.0
Disponível;Residencial;Sobrado;3;0;Curitiba;80320270;Rua Parintins;338;;Vila Izabel;PR;0.0;0.0;167.59;167.59;2;;Condomínio Residencial Interlakes;1250000.0;1300.0;S;2023-09-27T00:10:26.800;S;ZR4;0;2023-06-26T16:14:47.880;;0;1251300.0
Disponível;Residencial;Sobrado;3;2;Curitiba;82030480;Rua Madre Clélia Merloni;415;;Santa Felicidade;PR;2789.0;2789.0;166.04;129.3;1;;Green Forest;1055296.97;0.0;S;2023-09-27T00:10:26.800;S;ZR4;0;2023-09-18T19:20:22.493;;0;1055296.97
Disponível;Residencial;Sobrado;3;0;Curitiba;80620360;Rua João Antônio Xavier;39;;Água Verde;PR;181.71;181.71;198.56;198.56;3;;MONTE CARLO;1090000.0;0.0;S;2023-09-27T00:10:26.800;S;ZR3;0;2022-09-16T16:17:06.313;;0;1090000.0
Disponível;Residencial;Apartamento;3;2;Curitiba;80035010;Rua Bom Jesus;962;;Juvevê;PR;0.0;0.0;93.95;75.98;1;;Nox Residence;902046.2;0.0;S;2023-09-27T00:10:26.800;N;Zr;0;2023-01-27T13:00:15.727;;0;902046.2
Disponível;Residencial;Sobrado;3;2;Curitiba;82220422;Rua João Barwik;59;;Cachoeira;PR;0.0;0.0;90.24;90.24;1;;reserva mondrian;476343.0;0.0;S;2023-09-27T00:10:26.800;S;zr2;0;2023-08-31T09:32:23.973;;0;476343.0
Disponível;Residencial;Apartamento;2;2;Curitiba;81320290;Rua Desembargador Lauro Sodré Lopes;457;;Portão;PR;77.06;77.06;77.06;51.12;1;;Le Monde;425467.54;0.0;S;2023-09-27T00:10:26.800;S;Z1;0;2023-07-28T16:37:02.697;;0;425467.54
Disponível;Residencial;Apartamento;2;2;Curitiba;81050170;Rua João Bonat;93;;Novo Mundo;PR;0.0;0.0;110.96;62.34;0;;New Urban Residence;487168.0;0.0;S;2023-09-27T00:10:26.800;N;Zr;0;2023-04-03T12:44:18.123;;0;487168.0
Disponível;Residencial;Apartamento;1;1;Curitiba;80250020;Rua Lamenha Lins;236;;Centro;PR;529.0;529.0;38.7;24.75;0;;Edifício Lins 236;296893.6;0.0;S;2023-09-27T00:10:26.800;S;ZR;0;2023-09-12T16:17:49.523;;0;296893.6
