status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83829206;Rua Nossa Senhora Aparecida;2370;;Santa Terezinha;PR;44823.2;44823.2;47.0;47.0;1;;Fazenda Home Club;183720;0.0;S;2023-09-27T00:10:26.800;S;Z;0;2023-09-19T15:41:08.107;;0;183720.0
Disponível;Residencial;Sobrado;2;2;Fazenda Rio Grande;83820424;Rua Erva-Mate;153;Sobrado 56;Eucaliptos;PR;151.32;130.72;151.32;151.32;2;1.0;Conjunto Residencial Flamboia;480000;0.0;N;2023-09-27T00:10:26.800;N;0;0;2022-11-14T10:09:32.993;;0;480000.0
Disponível;Residencial;Sobrado;3;3;Fazenda Rio Grande;83820169;Travessa Monjoleiro;311;;Eucaliptos;PR;208.0;128.69;208.0;208.0;4;18.0;;370000;800.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-02-23T14:57:30.890;;0;370800.0
Disponível;Residencial;Sobrado;3;2;Fazenda Rio Grande;83820166;Travessa Piqui;107;;Eucaliptos;PR;88.9;160.0;88.9;88.9;2;3.0;;405000;0.0;N;2023-09-27T00:10:26.800;N;ZUD 1;0;2022-10-17T15:13:45.110;;0;405000.0
Disponível;Residencial;Sobrado;3;3;Fazenda Rio Grande;83820381;Rua Pau-Brasil;4098;casa 20;Eucaliptos;PR;220.0;144.0;220.0;220.0;3;3.0;0;995000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-08-03T14:34:30.783;;0;995000.0
Disponível;Residencial;Sobrado;3;3;Fazenda Rio Grande;83824470;Rua Macauã;34;SOBRADO 01;Gralha Azul;PR;64.22;84.88;64.22;64.22;2;12.0;RESIDENCIAL IGUACU lll;200000;363.09;N;2023-09-27T00:10:26.800;N;ZR;0;2023-08-07T10:25:36.283;;0;200363.09
Disponível;Residencial;Sobrado;2;2;Fazenda Rio Grande;83824414;Rua Beija-Flor;719;Sobrado 01;Gralha Azul;PR;65.8;138.43;65.8;65.8;2;5.0;;230000;0.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-08-14T09:21:50.390;;0;230000.0
Disponível;Residencial;Sobrado;4;2;Fazenda Rio Grande;83820476;Rua Mangueira;463;;Eucaliptos;PR;244.66;363.0;244.66;244.66;5;8.0;;850000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-04-06T14:15:40.097;;0;850000.0
Disponível;Residencial;Sobrado;2;2;Fazenda Rio Grande;83833463;Travessa Rio Barigui;184;Sobrado 4 - Fundos;Iguaçu;PR;69.9;96.17;69.9;69.9;2;10.0;Condomínio Residencial Rio Barigui;280000;0.0;N;2023-09-27T00:10:26.800;S;Zr2;0;2023-06-03T12:58:31.833;;0;280000.0
Disponível;Residencial;Sobrado;3;2;Fazenda Rio Grande;83830430;Travessa Pien;450;Casa 107;Estados;PR;120.0;110.97;120.0;120.0;1;10.0;Residencial Vila Vitoria;350000;150.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-07-04T16:49:35.323;;0;350270.0
Disponível;Residencial;Sobrado;3;2;Fazenda Rio Grande;83833534;Avenida Rio Amazonas;423;sobrado 02;Iguaçu;PR;82.98;285.54;82.98;82.98;0;1.0;;350000;0.0;N;2023-09-27T00:10:26.800;S;zr2;0;2023-08-28T13:52:28.247;;0;350000.0
Disponível;Residencial;Sobrado;2;2;Fazenda Rio Grande;83830145;Rua Paraiba;465;SOBRADO 13;Estados;PR;90.0;81.53;90.0;90.0;1;9.0;RES. PARAIBA;250000;272.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-04-24T10:58:49.047;;0;250342.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83820671;Rua Gameleira;246;Casa 02;Eucaliptos;PR;75.0;150.0;75.0;75.0;2;0.0;;380000;0.0;N;2023-09-27T00:10:26.800;N;0;0;2023-04-12T13:59:53.633;;0;380000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83823438;Avenida Londres;1728;;Nações;PR;90.0;120.0;90.0;90.0;2;1.0;Loteamento Green Portugal ll;199000;0.0;N;2023-09-27T00:10:26.800;N;Zr2;0;2023-09-13T10:06:03.823;;0;189050.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83824388;Rua Juruviara;870;;Gralha Azul;PR;86.0;180.0;86.0;86.0;2;1.0;;440000;0.0;N;2023-09-27T00:10:26.800;N;ZR;0;2022-12-23T12:55:19.703;;0;440000.0
Disponível;Residencial;Casa;3;2;Fazenda Rio Grande;83820542;Rua Laranjeira;430;casa;Eucaliptos;PR;91.0;180.0;91.0;91.0;0;0.0;;480000;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-06-19T14:03:30.807;;0;480000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83824494;Travessa Uru;25;casa 04;Gralha Azul;PR;51.0;112.0;51.0;62.0;3;0.0;;199900;363.09;N;2023-09-27T00:10:26.800;N;zr2;0;2023-07-04T15:15:28.763;;0;200263.09
Disponível;Comercial/Residencial;Casa;2;2;Fazenda Rio Grande;83820701;Avenida Tomaz Edison De Andrade Vieira;987;casa 2;Eucaliptos;PR;38.0;108.0;38.0;38.0;2;6.0;;250000;338.7;N;2023-09-27T00:10:26.800;N;Z;0;2023-09-18T09:47:20.027;;0;235338.7
Disponível;Comercial/Residencial;Casa;2;2;Fazenda Rio Grande;83820485;Travessa Uba;106;casa frente para rua;Eucaliptos;PR;62.5;102.0;62.5;62.5;3;13.0;;312000;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-07-24T12:51:48.470;;0;312000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83820816;Rua Das Bauhinias;336;casa;Eucaliptos;PR;38.0;108.0;38.0;38.0;2;0.0;;250000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-08-29T13:50:35.903;;0;250000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83829028;Rua São Manoel;597;;Santa Terezinha;PR;190.0;360.0;190.0;190.0;2;0.0;;370000;600.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-06-29T11:44:31.010;;0;370600.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83833534;Avenida Rio Amazonas;348;casa 01;Iguaçu;PR;75.0;75.0;75.0;75.0;1;0.0;;350000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-05-24T17:30:42.667;;0;350000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83833536;Rua Rio Timbu;324;casa;Iguaçu;PR;80.0;480.0;80.0;80.0;6;0.0;;350000;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-08-08T16:09:51.837;;0;350000.0
Disponível;Residencial;Casa;4;3;Fazenda Rio Grande;83823080;Rua Peru;352;;Nações;PR;151.0;180.0;151.0;151.0;0;1.0;;750000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-07-21T08:48:15.600;;0;750000.0
Disponível;Residencial;Casa;3;2;Fazenda Rio Grande;83820463;Rua Cerejeira;1617;Casa Rua Cerejeira 199;Eucaliptos;PR;78.05;160.0;78.05;78.05;0;0.0;;520000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-08-04T12:06:14.077;;0;520000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830566;Rua Curitiba;551;casa ;Estados;PR;46.08;249.09;46.08;46.08;3;1.0;;310000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-08-09T17:04:09.307;;0;310000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83823098;Rua Austria;885;casa 04;Nações;PR;54.0;96.0;54.0;54.0;1;13.0;condominio residencial chile 1;250000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-06-13T11:40:52.117;;0;250000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83820674;Rua Sombreiro;234;casa;Eucaliptos;PR;64.0;156.0;64.0;64.0;2;0.0;;380000;0.0;N;2023-09-27T00:10:26.800;N;zr3;0;2023-08-08T17:20:02.827;;0;380000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83820238;Rua Limeira;619;Casa 2;Eucaliptos;PR;43.47;143.05;43.47;43.47;2;13.0;Condomínio Residencial Limeira VI;230000;0.0;N;2023-09-27T00:10:26.800;N;Zr2;0;2022-10-27T16:25:24.710;;0;230000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83833102;Rua Rio Curua;55;casa 02;Iguaçu;PR;63.46;189.86;63.46;63.46;1;0.0;1;320000;0.0;N;2023-09-27T00:10:26.800;N;Zr2;0;2023-07-28T09:23:15.993;;0;320000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83829259;Rua São Timoteo;76;;Santa Terezinha;PR;120.0;180.0;120.0;120.0;1;14.0;;325000;305.4;N;2023-09-27T00:10:26.800;N;z;0;2023-09-11T08:46:01.687;;0;325305.4
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830273;Avenida Paraná;4351;cs02;Estados;PR;44.6;147.29;44.6;44.6;2;11.0;;212000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-06-22T14:23:23.980;;0;212000.0
Disponível;Comercial/Residencial;Casa;4;4;Fazenda Rio Grande;83820029;Rua Franca;84;casa;Eucaliptos;PR;100.0;360.0;100.0;100.0;6;10.0;;670000;680.0;N;2023-09-27T00:10:26.800;N;ZC;0;2023-07-04T15:10:00.117;;0;670680.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83829326;Rua São Clemente;46;casa;Santa Terezinha;PR;57.75;146.25;57.75;57.75;1;0.0;;260000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-09-21T12:02:09.490;;0;260000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83824462;Avenida Portugal;3454;casa 02;Gralha Azul;PR;50.5;91.0;50.5;47.2;2;13.0;VATICANO II;180000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-08-11T14:21:25.653;;0;180000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830209;Rua Itajai;313;CASA 08;Estados;PR;93.0;123.0;93.0;47.0;2;13.0;;240000;34.0;N;2023-09-27T00:10:26.800;N;ZR3;0;2023-05-31T17:19:57.510;;0;240034.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830310;Rua Para;163;casa 02;Estados;PR;51.5;360.0;51.5;51.5;1;0.0;;230000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-07-05T16:58:41.097;;0;230000.0
Disponível;Residencial;Casa;3;2;Fazenda Rio Grande;83823080;Rua Peru;121;casa;Nações;PR;90.0;180.0;90.0;90.0;1;0.0;;530000;0.0;N;2023-09-27T00:10:26.800;N;Zr2;0;2023-09-06T08:50:58.653;;0;530000.0
