bairro;cidade;estado;dormitorios;Quartos;metragem;area_total;garagem;idade;condominiofechado;esquina;Andar;AceitaPets;MobiliadoCombo;garden;elevador;Academia;MobiliadoVenda;Gas
Jardim Busmayer;Campo Largo;PR;3;2;152.14;152.14;0;0;N;N;0;0;Nao;0;0;0;0;0
Jardim Das Palmas;Campo Largo;PR;3;3;99.79;99.79;3;0;N;N;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;3;2;100.0;100.0;2;2;N;S;0;0;Nao;0;0;0;0;0
Jardim Busmayer;Campo Largo;PR;3;3;104.83;104.83;2;0;N;N;0;0;Nao;0;0;0;0;0
Botiatuva;Campo Largo;PR;3;2;94.28;94.28;0;2;S;N;0;0;Nao;0;0;0;0;0
Jardim Céu Azul;Campo Largo;PR;3;2;115.0;115.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Vila Bancária;Campo Largo;PR;3;1;88.22;88.22;1;1;N;N;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;3;3;110.0;110.0;2;1;N;S;0;0;Nao;0;0;0;0;1
Vila Glória;Campo Largo;PR;3;2;132.0;132.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Jardim São Vicente;Campo Largo;PR;3;3;70.43;70.43;0;0;N;N;0;0;Nao;0;0;0;0;1
Nova Trento;Campo Largo;PR;3;3;80.92;80.92;1;0;N;S;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;3;2;110.0;110.0;2;2;N;S;0;0;Nao;0;0;0;0;0
Vila Nova;Campo Largo;PR;4;4;202.0;202.0;1;13;N;S;0;0;Nao;0;0;0;0;1
Águas Claras;Campo Largo;PR;4;3;135.0;135.0;2;0;S;N;0;0;Nao;0;0;0;0;0
Águas Claras;Campo Largo;PR;3;2;132.25;132.25;1;1;S;N;0;0;Nao;0;0;0;0;0
Botiatuva;Campo Largo;PR;3;2;94.28;94.28;0;2;S;N;0;0;Nao;0;0;0;0;0
Águas Claras;Campo Largo;PR;3;2;130.0;130.0;0;0;S;;0;0;Nao;0;0;0;0;1
São João I;Campo Largo;PR;2;2;56.6;56.6;1;0;N;N;0;0;Nao;0;0;0;0;1
Vila Antônio Seguro;Campo Largo;PR;3;2;75.0;75.0;0;0;N;N;0;0;Nao;0;0;0;0;1
Jardim Florestal;Campo Largo;PR;2;2;70.0;70.0;1;1;N;N;0;0;Nao;0;0;0;0;1
Itaqui De Cima;Campo Largo;PR;3;3;160.0;160.0;2;2;N;S;0;0;Nao;0;0;0;0;1
Jardim Esmeralda;Campo Largo;PR;3;2;94.0;94.0;1;1;N;S;0;0;Nao;0;0;0;0;1
Loteamento São Francisco De Assis;Campo Largo;PR;3;3;69.08;69.08;2;9;N;N;0;0;Nao;0;0;0;0;1
Jardim Busmayer;Campo Largo;PR;3;3;162.0;162.0;2;0;N;N;0;0;Nao;0;0;0;0;1
Botiatuva;Campo Largo;PR;3;2;94.28;94.28;0;2;S;N;0;0;Nao;0;0;0;0;0
Jardim Das Américas;Campo Largo;PR;4;3;223.19;223.19;2;1;S;N;0;0;Nao;0;0;0;0;0
Jardim Três Rios;Campo Largo;PR;2;2;76.45;76.45;1;0;N;N;0;0;Nao;0;0;0;0;1
Centro;Campo Largo;PR;2;2;381.91;381.91;0;38;N;S;0;0;Nao;0;0;0;0;1
Jardim Das Acácias;Campo Largo;PR;2;2;45.4;45.4;1;1;N;N;0;0;Nao;0;0;0;0;1
Vila Itaqui;Campo Largo;PR;4;3;204.0;204.0;1;0;N;N;0;0;Nao;0;0;0;0;0
Vila Nossa Senhora Do Carmo;Campo Largo;PR;2;2;60.0;60.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Vila Torres I;Campo Largo;PR;3;3;160.0;160.0;1;18;N;N;0;0;Nao;0;0;0;0;1
Jardim Lise;Campo Largo;PR;3;2;75.0;75.0;2;0;N;N;0;0;Nao;0;0;0;0;1
Vila Itaqui;Campo Largo;PR;4;3;352.0;352.0;2;0;N;N;0;0;Nao;0;0;0;0;0
Vila Santa Terezinha;Campo Largo;PR;2;2;48.78;48.78;1;21;S;N;0;0;Nao;0;0;0;0;1
Jardim Esmeralda;Campo Largo;PR;3;3;54.8;54.8;3;0;S;N;0;0;Nao;0;0;0;0;0
Vila De Lurdes;Campo Largo;PR;4;0;430.0;430.0;4;0;S;N;0;0;Nao;0;0;0;0;0
Águas Claras;Campo Largo;PR;3;2;67.57;67.57;1;1;S;N;0;0;Nao;0;0;0;0;1
Vila Campesi;Campo Largo;PR;3;2;113.0;113.0;1;0;S;N;0;0;Nao;0;0;0;0;1
Jardim Das Acácias;Campo Largo;PR;3;3;70.0;70.0;1;2;S;N;0;0;Nao;0;0;0;0;1
Jardim Três Rios;Campo Largo;PR;2;2;39.76;39.76;1;7;S;N;0;0;Nao;0;0;0;0;1
Vila Glória;Campo Largo;PR;3;3;100.0;100.0;1;23;N;N;0;0;Nao;0;0;0;0;1
Jardim Social;Campo Largo;PR;2;2;385.5;385.5;0;0;N;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;3;3;64.26;64.26;2;0;N;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;3;3;64.26;64.26;2;0;N;N;0;0;Nao;0;0;0;0;1
Vila Ferrari Ii;Campo Largo;PR;3;2;254.45;254.45;2;3;N;N;0;0;Nao;0;0;0;0;1
Jardim Rondinha;Campo Largo;PR;3;3;84.0;84.0;1;2;N;N;0;0;Nao;0;0;0;0;1
Jardim Cristo Rei;Campo Largo;PR;3;2;94.0;94.0;0;11;N;N;0;0;Nao;0;0;0;1;1
Vila Glória;Campo Largo;PR;3;2;61.62;61.62;1;0;N;N;0;0;Nao;0;0;0;0;1
Jardim Das Acácias;Campo Largo;PR;3;3;100.0;100.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Jardim Das Acácias;Campo Largo;PR;3;2;110.0;110.0;1;1;N;N;0;0;Nao;0;0;0;0;1
Conjunto Águas Claras;Campo Largo;PR;3;3;59.4;59.4;1;0;N;N;0;0;Nao;0;0;0;0;1
São Marcos;Campo Largo;PR;3;2;95.05;95.05;4;13;N;N;0;0;Nao;0;0;0;1;1
Conjunto Águas Claras;Campo Largo;PR;3;3;120.0;120.0;2;8;N;N;0;0;Nao;0;0;0;0;1
Loteamento São Gerônimo;Campo Largo;PR;3;2;94.0;94.0;0;0;N;N;0;0;Nao;0;0;0;0;1
Conjunto Habitacional Monsenhor Francisco Gorski;Campo Largo;PR;3;3;59.0;59.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;2;2;54.31;54.31;1;0;N;N;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;4;4;90.0;90.0;2;0;N;N;0;0;Nao;0;0;0;0;1
Centro;Campo Largo;PR;1;1;70.0;70.0;1;16;N;N;0;0;Nao;0;0;0;0;1
Jardim Das Acácias;Campo Largo;PR;2;2;45.89;45.89;1;1;N;N;0;0;Nao;0;0;0;0;1
Jardim Social;Campo Largo;PR;3;3;0.0;0.0;1;0;N;N;0;0;Nao;0;0;0;0;1
Jardim Cristo Rei;Campo Largo;PR;3;3;100.0;100.0;2;11;N;N;0;0;Nao;0;0;0;0;1
Jardim Cristo Rei;Campo Largo;PR;3;3;57.0;57.0;2;10;N;N;0;0;Nao;0;0;0;0;1
Jardim Cristo Rei;Campo Largo;PR;2;2;50.16;50.16;0;0;N;N;0;0;Nao;0;0;0;0;1
Nova Trento Ii;Campo Largo;PR;3;3;100.0;100.0;2;0;N;N;0;0;Nao;0;0;0;0;1
Vila Gilcy;Campo Largo;PR;4;2;130.0;130.0;4;0;N;N;0;0;Nao;0;0;0;0;1
Botiatuva;Campo Largo;PR;2;2;59.65;59.65;1;0;N;N;0;0;Nao;0;0;0;0;1
Conjunto Águas Claras;Campo Largo;PR;3;3;58.5;58.5;0;0;N;N;0;0;Nao;0;0;0;0;1
Vila Solene;Campo Largo;PR;3;2;100.2;100.2;2;3;N;N;0;0;Nao;0;0;0;0;1
Jardim Céu Azul;Campo Largo;PR;2;2;51.74;51.74;0;2;N;N;0;0;Nao;0;0;0;0;1
Loteamento Itaboa;Campo Largo;PR;2;2;47.09;47.09;0;2;N;N;0;0;Nao;0;0;0;0;1
Jardim Esmeralda;Campo Largo;PR;2;2;50.59;50.59;4;5;S;N;0;0;Nao;0;0;0;0;0
São Marcos;Campo Largo;PR;3;2;71.95;71.95;1;0;S;N;0;0;Nao;0;0;0;0;1
Vila Santa Terezinha;Campo Largo;PR;2;2;50.33;50.33;1;12;S;N;0;0;Nao;0;0;0;0;1
Jardim Florestal;Campo Largo;PR;2;2;45.0;45.0;1;0;S;N;0;0;Nao;0;0;0;0;1
Águas Claras;Campo Largo;PR;3;3;56.25;56.25;1;18;S;N;0;0;Nao;0;0;0;0;1
Itaqui;Campo Largo;PR;2;2;48.0;48.0;1;4;N;N;0;0;Nao;0;0;0;0;0
Jardim Itaqui;Campo Largo;PR;2;2;50.04;50.04;1;5;N;N;0;0;Nao;0;0;0;0;1
Vila Glória;Campo Largo;PR;3;2;56.82;56.82;1;0;S;N;0;0;Nao;0;0;0;0;1
Botiatuva;Campo Largo;PR;5;5;126.0;126.0;2;9;S;N;0;0;Nao;0;0;0;0;1
Jardim Florestal;Campo Largo;PR;2;2;70.0;70.0;1;9;S;N;0;0;Nao;0;0;0;0;1
Vila Ferrari Ii;Campo Largo;PR;2;2;47.22;47.22;2;2;S;N;0;0;Nao;0;0;0;0;1
São Marcos;Campo Largo;PR;3;2;73.79;73.79;1;0;S;N;0;0;Nao;0;0;0;0;1
São Marcos;Campo Largo;PR;3;3;71.2;71.2;1;10;S;N;0;0;Nao;0;0;0;0;0
Botiatuva;Campo Largo;PR;3;2;78.0;78.0;0;2;S;N;0;0;Nao;0;0;0;0;1
Jardim Padre José De Anchieta;Campo Largo;PR;4;1;282.0;282.0;5;0;S;N;0;0;Nao;0;0;0;0;1
Loteamento São Gerônimo;Campo Largo;PR;3;3;78.8;78.8;3;1;S;N;0;0;Nao;0;0;0;0;1
Itaqui;Campo Largo;PR;2;2;40.31;40.31;1;0;S;N;0;0;Nao;0;0;1;0;0
Loteamento Ouro Verde I;Campo Largo;PR;2;2;40.0;40.0;0;0;S;N;0;0;Nao;0;0;0;0;1
Jardim Itaqui;Campo Largo;PR;2;2;48.0;48.0;0;0;S;N;0;0;Nao;1;0;0;0;1
Vila Bancária;Campo Largo;PR;2;2;57.34;57.34;0;1;S;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;2;2;53.83;53.83;1;0;S;N;0;0;Nao;0;0;0;0;1
Loteamento Itaboa;Campo Largo;PR;2;2;47.09;47.09;1;1;S;N;0;0;Nao;0;0;0;0;1
Jardim Itaqui;Campo Largo;PR;2;2;52.0;52.0;1;8;S;N;0;0;Nao;0;0;0;0;1
Vila Santa Terezinha;Campo Largo;PR;2;2;46.99;46.99;1;0;S;N;0;0;Nao;0;0;0;0;0
Jardim Itaqui;Campo Largo;PR;2;2;64.0;64.0;1;6;S;N;0;0;Nao;1;0;0;0;1
Centro;Campo Largo;PR;2;2;55.98;55.98;1;0;S;N;0;0;Nao;0;0;0;0;0
Jardim Itaqui;Campo Largo;PR;2;2;40.0;40.0;1;2;S;N;0;0;Nao;2;0;1;0;1
Centro;Campo Largo;PR;2;2;44.69;44.69;1;5;S;N;0;0;Nao;0;0;0;0;1
Loteamento Itaboa;Campo Largo;PR;2;2;10000.0;10000.0;1;1;S;N;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;2;2;46.18;46.18;1;1;S;N;0;0;Nao;0;0;0;0;1
Centro;Campo Largo;PR;2;2;64.14;64.14;1;7;S;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;2;2;47.95;47.95;1;5;S;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;2;2;41.83;41.83;1;8;S;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;2;2;55.51;55.51;1;6;S;N;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;2;2;46.95;46.95;1;1;S;N;0;0;Nao;0;0;0;0;1
Loteamento Itaboa;Campo Largo;PR;2;2;40.0;40.0;0;0;S;N;0;0;Nao;0;0;0;0;1
Jardim Itaqui;Campo Largo;PR;2;2;45.91;45.91;1;0;S;N;0;0;Nao;1;0;0;0;1
Vila Santa Terezinha;Campo Largo;PR;2;2;47.0;47.0;1;0;S;N;0;0;Nao;0;0;0;0;0
Centro;Campo Largo;PR;1;1;86.42;86.42;1;5;S;;0;0;Nao;0;0;0;0;1
Bom Jesus;Campo Largo;PR;2;2;40.0;40.0;1;0;S;N;0;0;Nao;0;0;0;0;1
Jardim Itaqui;Campo Largo;PR;2;2;43.61;43.61;0;0;S;N;0;0;Nao;0;0;0;0;1
Vila Solene;Campo Largo;PR;3;2;157.0;157.0;2;3;N;N;0;0;Nao;0;0;0;0;1
Vila Solene;Campo Largo;PR;3;2;160.96;160.96;2;3;N;N;0;0;Nao;0;0;0;0;1
Itaqui;Campo Largo;PR;2;2;46.0;46.0;1;3;S;N;0;0;Nao;1;0;0;0;1
Loteamento Itaboa;Campo Largo;PR;2;2;54.35;54.35;1;2;S;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;2;2;47.95;47.95;1;5;S;N;0;0;Nao;0;0;1;0;1
Vila Otto;Campo Largo;PR;2;2;53.83;53.83;1;0;S;N;0;0;Nao;0;1;0;0;1
Jardim Itaqui;Campo Largo;PR;2;2;60.0;60.0;1;2;S;N;0;0;Nao;0;0;0;0;1
Jardim Iruama;Campo Largo;PR;2;2;53.83;53.83;1;5;S;N;0;0;Nao;0;0;0;0;1
Loteamento São Francisco De Assis;Campo Largo;PR;2;2;51.64;51.64;1;7;S;N;0;0;Nao;0;0;0;0;1
Loteamento Ouro Verde I;Campo Largo;PR;2;2;40.0;40.0;0;1;S;N;0;0;Nao;0;0;0;0;1
Loteamento Ouro Verde I;Campo Largo;PR;2;2;43.61;43.61;1;1;S;N;0;0;Nao;0;0;0;0;1
