bairro;cidade;estado;dormitorios;Quartos;metragem;area_total;garagem;idade;condominiofechado;esquina;Andar;AceitaPets;MobiliadoCombo;garden;elevador;Academia;MobiliadoVenda;Gas
Campo Comprido;Curitiba;PR;3;2;150.04;192.84;2;;S;N;0;0;Nao;;;0;0;0
Boqueirão;Curitiba;PR;3;2;770.0;127.0;2;;S;N;0;0;Nao;;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;0.0;167.59;2;;S;N;0;0;Nao;;0.0;0;0;0
Santa Felicidade;Curitiba;PR;3;2;2789.0;166.04;1;;S;N;0;0;Nao;;0.0;0;0;1
Água Verde;Curitiba;PR;3;0;181.71;198.56;3;;S;N;0;0;Nao;;0.0;0;0;0
Juvevê;Curitiba;PR;3;2;0.0;93.95;1;;N;N;0;0;Nao;;2.0;0;0;0
Cachoeira;Curitiba;PR;3;2;0.0;90.24;1;;S;N;0;0;Nao;;;0;0;1
Portão;Curitiba;PR;2;2;77.06;77.06;1;;S;S;0;0;Nao;;1.0;1;0;0
Novo Mundo;Curitiba;PR;2;2;0.0;110.96;0;;N;N;0;0;Nao;;2.0;1;0;0
Centro;Curitiba;PR;1;1;529.0;38.7;0;;S;N;0;0;Nao;;2.0;0;0;0
Bacacheri;Curitiba;PR;3;2;820.8;164.47;2;;S;N;0;0;Nao;;2.0;0;0;0
Mercês;Curitiba;PR;2;1;3000.0;128.64;1;;S;N;0;0;Nao;;2.0;0;0;0
Ecoville;Curitiba;PR;5;1;3168.45;535.36;4;;S;S;0;0;Nao;;2.0;1;0;0
Alto Da Rua Xv;Curitiba;PR;1;1;32.08;57.46;0;;S;N;0;0;Nao;;1.0;0;0;1
Ecoville;Curitiba;PR;4;2;184.0;197.33;0;;S;N;0;0;Nao;;1.0;0;0;0
Tingui;Curitiba;PR;2;1;8836.0;59.93;1;;S;N;0;0;Nao;;2.0;0;0;0
Hauer;Curitiba;PR;2;2;51.0;51.0;1;;S;N;0;0;Nao;;1.0;0;0;0
Boa Vista;Curitiba;PR;2;1;0.0;81.08;1;;S;N;0;0;Nao;;;0;0;0
Novo Mundo;Curitiba;PR;2;1;4557.55;109.26;1;;S;N;0;0;Nao;;2.0;0;0;0
Seminário;Curitiba;PR;3;2;0.0;148.39;2;;S;N;0;0;Nao;;1.0;0;0;0
Água Verde;Curitiba;PR;1;1;550.0;62.93;1;;S;N;0;0;Nao;;1.0;0;0;0
Novo Mundo;Curitiba;PR;2;2;0.0;154.18;0;;S;N;0;0;Nao;;2.0;0;0;0
Bigorrilho;Curitiba;PR;3;2;1153.78;196.69;2;;S;N;0;0;Nao;;2.0;0;0;0
Ecoville;Curitiba;PR;4;2;277.44;380.95;0;;S;N;0;0;Nao;;1.0;0;0;0
Mossunguê;Curitiba;PR;2;1;36.75;36.75;1;;S;S;0;0;Nao;;1.0;1;0;0
Santa Cândida;Curitiba;PR;2;2;46.8;46.8;0;;S;N;0;0;Nao;;0.0;0;0;0
Guabirotuba;Curitiba;PR;2;1;1672.0;80.37;1;;S;S;0;0;Nao;;1.0;0;0;0
Ahú;Curitiba;PR;6;2;187.7;187.7;2;34.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Pinheirinho;Curitiba;PR;3;0;280.0;280.0;9;11.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Sítio Cercado;Curitiba;PR;4;3;274.61;274.61;4;13.0;N;S;0;0;Nao;0.0;0.0;0;0;0
Seminário;Curitiba;PR;3;0;200.0;200.0;2;0.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Vista Alegre;Curitiba;PR;3;2;228.0;228.0;4;20.0;N;S;0;0;Nao;0.0;0.0;0;0;1
Fazendinha;Curitiba;PR;4;3;150.0;150.0;2;38.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cachoeira;Curitiba;PR;3;0;243.0;243.0;2;30.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Tingui;Curitiba;PR;2;1;157.8;157.8;1;7.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Uberaba;Curitiba;PR;3;2;172.56;172.56;3;10.0;N;S;0;0;Nao;0.0;0.0;0;0;0
Barreirinha;Curitiba;PR;3;2;210.0;210.0;4;10.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;3;2;190.0;190.0;2;16.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Uberaba;Curitiba;PR;3;0;150.0;150.0;2;33.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Mercês;Curitiba;PR;4;3;176.4;176.4;2;33.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cidade Industrial;Curitiba;PR;4;3;350.0;350.0;4;8.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Boa Vista;Curitiba;PR;3;0;214.77;214.77;3;4.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Centro Cívico;Curitiba;PR;3;2;189.23;189.23;2;12.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Pinheirinho;Curitiba;PR;3;2;217.0;217.0;2;17.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;5;5;460.0;460.0;4;19.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Santa Cândida;Curitiba;PR;3;3;89.44;89.44;3;19.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Boqueirao;Curitiba;PR;3;3;195.0;195.0;5;2.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;3;2;150.0;150.0;2;11.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Abranches;Curitiba;PR;3;1;554.0;554.0;4;10.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Jardim Das Américas;Curitiba;PR;4;4;173.45;173.45;2;20.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Jardim Botânico;Curitiba;PR;4;2;257.5;257.5;0;61.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Campo Comprido;Curitiba;PR;3;3;289.0;289.0;8;12.0;N;S;0;0;Nao;0.0;0.0;0;0;1
Atuba;Curitiba;PR;3;0;215.95;215.95;6;14.0;N;S;0;0;Nao;0.0;0.0;0;0;0
Atuba;Curitiba;PR;3;2;163.43;163.43;4;20.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;3;2;139.06;139.06;3;0.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;195.74;195.74;2;1.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;195.74;195.74;2;1.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Jardim Botânico;Curitiba;PR;4;3;237.53;237.53;2;45.0;N;S;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;3;2;340.0;340.0;4;6.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Campina Do Siqueira;Curitiba;PR;3;3;505.0;505.0;6;2.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cajuru;Curitiba;PR;3;3;290.0;290.0;4;24.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Água Verde;Curitiba;PR;3;2;204.8;204.8;4;23.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boqueirão;Curitiba;PR;5;4;295.32;295.32;5;25.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Pilarzinho;Curitiba;PR;4;3;118.88;118.88;2;18.0;N;S;0;0;Nao;0.0;0.0;0;0;1
Boqueirão;Curitiba;PR;3;2;122.98;122.98;2;23.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boqueirão;Curitiba;PR;3;2;182.84;182.84;4;12.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Barreirinha;Curitiba;PR;3;2;169.95;169.95;3;10.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Centro Cívico;Curitiba;PR;7;7;265.9;265.9;4;64.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Guabirotuba;Curitiba;PR;3;2;211.76;211.76;0;19.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Pilarzinho;Curitiba;PR;4;3;242.76;242.76;4;41.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Guaíra;Curitiba;PR;3;3;129.0;129.0;1;40.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Água Verde;Curitiba;PR;3;3;140.0;140.0;0;47.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Boa Vista;Curitiba;PR;3;3;280.0;280.0;4;36.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Jardim Das Américas;Curitiba;PR;3;2;150.0;150.0;3;23.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Campo De Santana;Curitiba;PR;3;2;87.48;87.48;2;1.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Xaxim;Curitiba;PR;4;3;234.52;234.52;6;17.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Alto Boqueirão;Curitiba;PR;3;3;92.0;92.0;2;43.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Água Verde;Curitiba;PR;4;4;220.0;220.0;1;34.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Bairro Alto;Curitiba;PR;3;1;227.0;227.0;4;42.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Bacacheri;Curitiba;PR;3;0;196.9;196.9;4;3.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Parolin;Curitiba;PR;4;3;288.56;288.56;24;35.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Santa Cândida;Curitiba;PR;4;4;240.0;240.0;5;43.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cajuru;Curitiba;PR;3;2;232.08;232.08;7;32.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Parolin;Curitiba;PR;4;3;140.89;140.89;2;41.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Fanny;Curitiba;PR;4;1;270.0;270.0;6;28.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boqueirão;Curitiba;PR;6;4;370.9;370.9;6;8.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;6;3;437.75;437.75;3;26.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Fanny;Curitiba;PR;5;2;363.07;363.07;6;23.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Jardim Das Américas;Curitiba;PR;3;2;193.94;193.94;3;14.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Barreirinha;Curitiba;PR;3;3;78.46;78.46;2;17.0;S;N;0;0;Nao;0.0;0.0;0;0;1
Abranches;Curitiba;PR;3;2;143.31;143.31;2;9.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Bairro Alto;Curitiba;PR;3;2;120.0;120.0;2;11.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Santa Felicidade;Curitiba;PR;3;2;155.0;155.0;1;6.0;S;N;0;0;Nao;0.0;0.0;0;0;0
