bairro;cidade;estado;dormitorios;Quartos;metragem;area_total;garagem;idade;condominiofechado;esquina;Andar;AceitaPets;MobiliadoCombo;garden;elevador;Academia;MobiliadoVenda;Gas
Santa Terezinha;Fazenda Rio Grande;PR;2;2;44823.2;47.0;1;;S;N;0;0;Nao;;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;151.32;151.32;2;1.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;3;3;208.0;208.0;4;18.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;3;2;88.9;88.9;2;3.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;3;3;220.0;220.0;3;3.0;N;N;0;0;Nao;0.0;0;0;0;0
Gralha Azul;Fazenda Rio Grande;PR;3;3;64.22;64.22;2;12.0;N;N;0;0;Nao;0.0;0;0;0;1
Gralha Azul;Fazenda Rio Grande;PR;2;2;65.8;65.8;2;5.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;4;2;244.66;244.66;5;8.0;N;N;0;0;Nao;0.0;0;0;0;1
Iguaçu;Fazenda Rio Grande;PR;2;2;69.9;69.9;2;10.0;S;N;0;0;Nao;0.0;0;0;0;1
Estados;Fazenda Rio Grande;PR;3;2;120.0;120.0;1;10.0;S;N;0;0;Nao;0.0;0;0;0;0
Iguaçu;Fazenda Rio Grande;PR;3;2;82.98;82.98;0;1.0;S;N;0;0;Nao;0.0;0;0;0;1
Estados;Fazenda Rio Grande;PR;2;2;90.0;90.0;1;9.0;S;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;75.0;75.0;2;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Nações;Fazenda Rio Grande;PR;2;2;90.0;90.0;2;1.0;N;N;0;0;Nao;0.0;0;0;0;1
Gralha Azul;Fazenda Rio Grande;PR;3;3;86.0;86.0;2;1.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;3;2;91.0;91.0;0;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Gralha Azul;Fazenda Rio Grande;PR;2;2;51.0;51.0;3;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;38.0;38.0;2;6.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;62.5;62.5;3;13.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;38.0;38.0;2;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Santa Terezinha;Fazenda Rio Grande;PR;2;2;190.0;190.0;2;0.0;N;S;0;0;Nao;0.0;0;0;0;1
Iguaçu;Fazenda Rio Grande;PR;2;2;75.0;75.0;1;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Iguaçu;Fazenda Rio Grande;PR;3;3;80.0;80.0;6;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Nações;Fazenda Rio Grande;PR;4;3;151.0;151.0;0;1.0;N;N;0;0;Nao;0.0;0;0;0;0
Eucaliptos;Fazenda Rio Grande;PR;3;2;78.05;78.05;0;0.0;N;N;0;0;Nao;0.0;0;0;0;0
Estados;Fazenda Rio Grande;PR;2;2;46.08;46.08;3;1.0;N;S;0;0;Nao;0.0;0;0;0;1
Nações;Fazenda Rio Grande;PR;2;2;54.0;54.0;1;13.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;3;3;64.0;64.0;2;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;43.47;43.47;2;13.0;N;N;0;0;Nao;0.0;0;0;0;1
Iguaçu;Fazenda Rio Grande;PR;3;3;63.46;63.46;1;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Santa Terezinha;Fazenda Rio Grande;PR;3;3;120.0;120.0;1;14.0;N;N;0;0;Nao;0.0;0;0;0;1
